上海海万信息科技股份有限公司,3945445,Python 数据分析,大专,3-5年,13k-25k,深圳,500-2000人,不需要融资,"最先进的技,大项目,交通便利,环境好",2019/5/16
上海陆家嘴国际金融资产交易市场股份有限公司,5579971,25212E-数据分析岗,本科,3-5年,10k-15k,深圳,2000人以上,B轮,"五险一金,带薪年假,节日福利,高温补贴",00:00发布
车好多旧机动车经纪（北京）有限公司,4584794,数据分析师（金融）,本科,3-5年,20k-40k,北京,2000人以上,D轮及以上,"领导好,股票期权,奖金多,靠谱CEO",1天前发布
挖财网络技术有限公司,5529012,高级数据分析师 (MJ001016),本科,3-5年,15k-30k,上海,500-2000人,D轮及以上,"公司平台,晋升空间,弹性工作,节假日福利",1天前发布
北京微聚未来科技有限公司,5390437,高级数据分析师,本科,3-5年,20k-40k,北京,500-2000人,不需要融资,七险一金、15-20薪、牛人团队,1天前发布
发现时空（北京）信息技术有限公司,5517550,高级数据分析师,本科,5-10年,25k-35k,北京,50-150人,B轮,扁平化管理 旅游基金 离地铁2分钟,1天前发布
深圳市和讯华谷信息技术有限公司,2857336,高级数据分析师,本科,3-5年,20k-30k,深圳,500-2000人,上市公司,"数据量大,攻城狮氛围,牛人多,弹性工作",1天前发布
北京自如友家资产管理有限公司,4535740,数据分析经理,本科,5-10年,15k-30k,北京,2000人以上,A轮,"绩效奖金,年底双薪,餐补,房补",1天前发布
广州华多网络科技有限公司,5294402,数据分析师 (MJ001409),本科,3-5年,10k-20k,广州,2000人以上,上市公司,平台大、福利多,2019/5/9
中信百信银行股份有限公司,3956842,高级数据分析师,本科,5-10年,30k-50k,北京,150-500人,不需要融资,"金融互联网,发展空间,合作团队,大牛多",1天前发布
北京大米未来科技有限公司,5253335,数据分析经理（用户）,本科,5-10年,15k-30k,北京,2000人以上,D轮及以上,"平台大,氛围轻松,弹性工作",2019/5/14
达疆网络科技（上海）有限公司,5320048,高级数据分析经理,本科,5-10年,30k-50k,上海,2000人以上,D轮及以上,处在风口的发展平台，牛逼的团队,1天前发布
广州市百果园网络科技有限公司,5406563,数据分析师,硕士,1-3年,15k-30k,广州,500-2000人,D轮及以上,年底双薪、年终奖、住房补贴、全勤奖,1天前发布
珠海市碧桂园管理服务有限公司,5954722,数据分析师,本科,5-10年,8k-15k,佛山,2000人以上,不需要融资,500强企业 发展好,1天前发布
北京快看世界信息技术有限公司,5620108,数据分析,本科,3-5年,15k-25k,北京,150-500人,D轮及以上,零食水果 免费晚餐 发展空间大,1天前发布
上海海万信息科技股份有限公司,5380722,python数据分析,本科,1-3年,10k-15k,深圳,500-2000人,不需要融资,五险一金，周末双休，朝九晚六,1天前发布
挖财网络技术有限公司,5451656,数据分析实习生 (MJ000998),不限,不限,2k-4k,上海,500-2000人,D轮及以上,"公司平台,晋升空间,弹性工作,节假日福利",1天前发布
车好多旧机动车经纪（北京）有限公司,5420145,数据分析经理,本科,5-10年,25k-40k,北京,2000人以上,D轮及以上,快速成长 期权激励 晋升空间,1天前发布
北京自如友家资产管理有限公司,5534114,市场数据分析师,本科,1-3年,10k-20k,北京,2000人以上,A轮,租房优惠 六险一金 绩效奖金 免费体检,1天前发布
北京快看世界信息技术有限公司,5620063,数据分析师,本科,3-5年,15k-25k,北京,150-500人,D轮及以上,"双休,七险一金,免费晚餐,重点业务",1天前发布
上海证大喜马拉雅网络科技有限公司,5779914,数据分析师,本科,3-5年,15k-30k,北京,500-2000人,D轮及以上,16薪 周末双休 极客文化 弹性工作,1天前发布
上海轻轻信息科技有限公司,5922501,数据分析师,本科,3-5年,15k-25k,上海,2000人以上,D轮及以上,D轮融资、技术大牛、教育行业,1天前发布
深圳微众税银信息服务有限公司,4130779,数据分析师,硕士,不限,10k-18k,深圳,150-500人,C轮,"发展空间,公司福利好",1天前发布
欧科互动网络科技（北京）有限公司,5946854,数据分析,本科,3-5年,15k-30k,北京,500-2000人,B轮,"区块链技术,行业风口",1天前发布
上海欢兽实业有限公司,5834471,数据分析（风控）,本科,1-3年,10k-20k,上海,500-2000人,B轮,"扁平化管理,平台大,奖金多,15薪",1天前发布
广州希音供应链管理有限公司,5853381,数据分析师 (MJ000443),本科,1-3年,6k-8k,南京,2000人以上,C轮,五险一金，绩效奖金，年终奖，节日福利,1天前发布
鹏元征信有限公司,5783436,数据分析师（数据运营）,本科,3-5年,15k-25k,深圳,150-500人,不需要融资,行业前列、合规第一、持牌经营,1天前发布
湖南麓山云数据科技服务有限公司,5183495,数据分析师,本科,1-3年,8k-12k,长沙,150-500人,不需要融资,"学习机会,晋升空间",1天前发布
深圳小步网络科技有限公司,5545318,数据分析师,本科,3-5年,20k-40k,深圳,150-500人,B轮,高薪酬股票期权热门海外业务氛围好牛人多,1天前发布
上海任意门科技有限公司,5645952,数据分析师,本科,3-5年,20k-40k,上海,150-500人,C轮,"高薪资,平台好,潜力大,氛围浓",1天前发布
上海任意门科技有限公司,5719810,数据分析师,本科,3-5年,15k-30k,北京,150-500人,C轮,"上升空间,高薪资,扁平管理",1天前发布
易云游网络技术(北京)有限公司,5885332,数据分析师,本科,1-3年,13k-20k,北京,150-500人,C轮,大平台、六险一金,1天前发布
遨游酒店信息技术(深圳)有限责任公司,5956008,数据分析师,本科,3-5年,15k-25k,上海,500-2000人,不需要融资,包晚餐；弹性工作,1天前发布
中移在线服务有限公司,3975218,数据分析（互联网运营中心）,本科,3-5年,12k-24k,郑州,2000人以上,不需要融资,"领导好,扁平化,福利多,空间大",1天前发布
中国平安财产保险股份有限公司,5785645,032281-数据分析岗,本科,1-3年,11k-20k,深圳,2000人以上,上市公司,"五险一金,绩效奖金,带薪年假,定期体检",00:00发布
北京酷得少年科技有限公司,5941650,数据分析师,本科,1-3年,20k-30k,北京,50-150人,A轮,六险一金、春节2周假期、季度奖金,1天前发布
北京金山网络科技有限公司,5450245,数据分析师,本科,1-3年,15k-25k,北京,500-2000人,上市公司,六险一金，免费班车，补助，年终奖，健身房,1天前发布
北京四达时代软件技术股份有限公司,3246596,数据分析师,本科,3-5年,18k-25k,北京,2000人以上,上市公司,"多业务平台,海外用户,大量数据,发展空间大",1天前发布
掌阅科技股份有限公司,5956101,数据分析师（广告投放）,本科,不限,15k-25k,北京,500-2000人,上市公司,"工作氛围好,各种团建",1天前发布
杭州观数信息科技有限公司,3045803,数据分析师,本科,3-5年,12k-24k,杭州,50-150人,A轮,"成长空间,牛人团队,独挡一面,期权激励",1天前发布
北京粉笔未来科技有限公司,5920778,数据分析师,本科,3-5年,15k-30k,北京,2000人以上,D轮及以上,五一9天假、双休、旅游津贴、nice领导,1天前发布
深圳宜搜天下科技股份有限公司,5955664,数据分析师,大专,1-3年,10k-12k,深圳,500-2000人,D轮及以上,双休，六险一金，期权激励，年终奖金,1天前发布
武汉屈臣氏个人用品商店有限公司广州分公司,5533861,数据分析师（会员营销）,大专,3-5年,10k-15k,广州,2000人以上,不需要融资,"发展空间大,工作氛围好,千万级用户",1天前发布
玖富金科控股集团有限责任公司,5787021,数据分析师（金融方向）,本科,3-5年,15k-25k,北京,2000人以上,D轮及以上,平台好，氛围好，地铁周边，领导NICE,1天前发布
算话智能科技有限公司,5479849,大数据分析师,本科,1-3年,9k-18k,上海,50-150人,B轮,优秀团队、绩效奖金、福利津贴、定期体检,1天前发布
中移在线服务有限公司,5494730,大数据分析师,本科,3-5年,15k-25k,郑州,2000人以上,不需要融资,海量数据 优质平台 发展空间大,1天前发布
杭州观数信息科技有限公司,5355366,数据分析师,本科,1-3年,15k-30k,深圳,50-150人,A轮,牛人团队 成长空间 期权激励 独当一面,1天前发布
北京水象科技有限公司,5937284,数据分析师（电商）,不限,3-5年,14k-20k,北京,2000人以上,不需要融资,五险一金 多次调薪,1天前发布
上海阑途信息技术有限公司,5388108,数据分析师,本科,1-3年,15k-20k,上海,2000人以上,D轮及以上,扁平化管理，大牛带教,1天前发布
中和农信项目管理有限公司,5888215,数据分析师（北京）(J10503),本科,3-5年,8k-15k,北京,2000人以上,不需要融资,年底多薪 、弹性工作、商业保险、员工宿舍,1天前发布
