公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,python开发工程师,3-5年,本科,15k-20k,"五险一金,全勤奖,餐补,带薪年假"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,应届毕业生,本科,10k-20k,"快速发展,人工智能,大数据,待遇好"
北京思维造物信息科技有限公司,罗辑思维,150-500人,D轮及以上,朝阳区,python开发工程师（安全方向）,3-5年,本科,25k-50k,六险一金 年度体检 企业医生 弹性工作
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,高级Python工程师,3-5年,本科,15k-25k,"带薪年假,福利多,办公环境好,团队氛围好"
北京超盟数据科技有限公司,北京超盟数据科技有限公司,50-150人,A轮,朝阳区,python后端开发工程师,5-10年,本科,15k-25k,六险一金，周末双休，弹性考勤，发展空间大
北京奇安信科技有限公司,奇安信集团,2000人以上,不需要融资,朝阳区,Python大数据开发工程师,3-5年,本科,25k-45k,"股票期权,弹性工作,高并发系统,行业独角"
北京非凡维格科技有限公司,FlashTrip,15-50人,B轮,朝阳区,python开发,3-5年,本科,15k-25k,带薪年假；开放办公
北京道行思科技有限公司,寻牛,15-50人,B轮,东城区,python策略开发工程师,1-3年,本科,10k-15k,期货 期权 深度学习
北京富顺天牧科技有限公司,富顺天牧,15-50人,不需要融资,大兴区,Django 开发工程师,5-10年,不限,10k-15k,五险、法定假日、6日休
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,朝阳区,11215N-Python开发工程师,3-5年,本科,15k-30k,"五险一金,带薪年假,节日福利,绩效奖金"
达而观信息科技（上海）有限公司,达观数据,150-500人,B轮,海淀区,高级python开发工程师,3-5年,本科,20k-30k,"大牛团队,技术领先,发展迅速,准独角兽"
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,Python开发工程师,1-3年,本科,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐"
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,Python,不限,本科,13k-25k,"前沿科技,靠谱团队,工程师文化,H1B计划"
北京快乐茄信息技术有限公司,茄子快传,150-500人,B轮,海淀区,python开发工程师,5-10年,本科,25k-50k,"行业独角兽,团队大牛多,薪资福利好"
北京阿博茨科技有限公司,阿博茨科技,150-500人,B轮,海淀区,PYTHON开发工程师 (MJ000126),1-3年,本科,15k-25k,金融科技 人工智能
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,高级Python开发工程师／爬虫／Spider,3-5年,本科,15k-25k,"技术驱动,氛围自由,扁平管理,福利健全"
深圳市金证优智科技有限公司,金证优智,15-50人,A轮,海淀区,python开发工程师,3-5年,本科,15k-25k,带薪年假、餐补、季度团建、节日福利
北京博派通达科技有限公司,博派通达,50-150人,A轮,朝阳区,Python开发工程师（爬虫）,1-3年,大专,12k-20k,"地铁周边,超多大牛,免费茶歇,弹性工作"
北京势在必行网络科技有限公司,币信,50-150人,不需要融资,海淀区,python开发工程师,3-5年,本科,18k-35k,"年底双薪,午餐补助,休闲餐点,弹性工作"
北京金堤科技有限公司,天眼查,150-500人,A轮,海淀区,python开发工程师,不限,本科,15k-25k,公司业务好，技术氛围好
北京摩尔宝宝网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,python开发工程师,1-3年,本科,15k-25k,"大牛带队,注重成长,季度奖金,免费午餐"
北京赋乐科技有限公司,Flow++,50-150人,A轮,海淀区,python开发工程师,3-5年,本科,15k-25k,十四薪+七险一金+绩效金+下午茶+旅游
