职位名称,公司全名,公司简称,公司规模,城市,区域,工作经验,学历要求,工资,融资阶段,职位福利
高级java开发工程师,北京宅急送快运股份有限公司,宅急送,2000人以上,北京,顺义区,5-10年,本科,15k-30k,A轮,五险一金
高级JAVA工程师,北京金堤科技有限公司,天眼查,150-500人,北京,海淀区,3-5年,本科,20k-40k,A轮,"健全福利,技术大牛,高新企业,大数据"
Java工程师,北京旷视科技有限公司,旷视MEGVII,500-2000人,北京,海淀区,5-10年,本科,20k-40k,D轮及以上,大牛 极客 黑科技 人工智能
JAVA研发工程师,北京当当网信息技术有限公司,当当网,2000人以上,北京,朝阳区,3-5年,本科,20k-30k,上市公司,"地铁周边,弹性制,领导好,福利丰厚"
Java开发工程师,北京拉勾网络技术有限公司,拉勾网,500-2000人,北京,海淀区,3-5年,本科,15k-30k,D轮及以上,"技术挑战与,个人成长,空间"
高级Java开发,珠海随变科技有限公司,必要商城,150-500人,北京,,5-10年,本科,20k-30k,不需要融资,和牛X的人一起做牛X的事儿
Java开发工程师,深圳有咖互动科技有限公司,有咖互动,150-500人,北京,朝阳区,3-5年,本科,20k-30k,B轮,"新浪微博,技术氛围好,扁平化管理"
java开发工程师,上海阅客信息科技有限公司,阅客公司—唔哩,50-150人,北京,朝阳区,3-5年,本科,15k-30k,A轮,"六险一金,免费水果,加班补贴,弹性工作制"
java开发工程师,北京市商汤科技开发有限公司,商汤科技,2000人以上,北京,海淀区,3-5年,本科,20k-35k,C轮,人工智能
java,北京一人一亩田网络科技有限公司,一亩田,150-500人,北京,海淀区,3-5年,本科,15k-25k,C轮,六险一金，弹性工作，双休，年终奖，年假
JAVA开发工程师（初级、中级、高级）,深圳市央信科技有限公司,央信租机,15-50人,北京,海淀区,5-10年,本科,30k-40k,天使轮,"30-40K ,12薪"
java开发工程师,北京人人信科技有限公司,人人信,50-150人,北京,海淀区,3-5年,本科,10k-20k,A轮,早晚餐 领导nice 地铁周边 带薪年假
Java高级开发工程师(商业),北京转转精神科技有限责任公司,转转,500-2000人,北京,海淀区,1-3年,本科,20k-40k,A轮,"六险一金,牛人共事,弹性工作,成长空间大"
Java工程师,北京瓴岳信息技术有限公司,洋钱罐,150-500人,北京,朝阳区,1-3年,本科,15k-30k,不需要融资,十四薪；午餐晚餐；六险一金；地铁周边；
高级JAVA,团车互联网信息服务（北京）有限公司,团车网,500-2000人,北京,海淀区,5-10年,大专,20k-30k,上市公司,办公氛围
高级java开发工程师,青岛莱月网络科技有限公司,莱月再生,50-150人,北京,海淀区,3-5年,本科,20k-30k,天使轮,五险一金 带薪年假 加班补贴 14+薪
高级开发工程师、技术专家、高级技术专家,浙江菜鸟供应链管理有限公司,菜鸟网络,2000人以上,北京,朝阳区,不限,不限,20k-40k,B轮,架构师、专家
